date,open,high,low,close,volume
20060627,7928,8063,7909,8063,650293
20060628,7723,8002,7723,8002,368487
20060629,8151,8151,8119,8119,395396
20060630,8402,8402,8244,8337,314357
20060703,8421,8421,8328,8393,287010
20060704,8421,8477,8347,8365,334446
20060705,8249,8440,8249,8384,273246
20060706,8421,8421,8235,8328,253666
20060707,8426,8426,8374,8402,225495
20060710,8374,8523,8300,8523,241627
20060711,8486,8654,8468,8654,334738
20060712,8654,8719,8565,8691,373709
20060713,8588,8714,8588,8682,301355
20060714,8682,8682,8463,8561,329427
20060718,7742,8468,7742,8361,433912
20060719,8361,8421,8328,8421,212872
20060720,8598,8598,8435,8519,596222
20060721,8188,8505,8188,8505,130707
20060724,8468,8505,8374,8505,133167
20060725,8561,8570,8533,8570,174594
20060726,8598,8598,8542,8588,323576
20060727,8598,8649,8561,8644,135052
20060728,8756,8756,8561,8635,152432
20060731,8682,8812,8682,8812,174524
20060801,8812,8882,8598,8877,240053
20060802,8830,8830,8709,8826,303669
20060803,8840,8886,8775,8812,261963
20060804,8840,9212,8719,8840,284479
20060807,8933,8975,8812,8821,109584
20060808,8821,8821,8737,8737,109296
20060809,9305,9305,8723,8789,280806
20060810,8789,8830,8700,8830,222564
20060811,8858,9258,8765,8765,94209
20060814,8923,8923,8672,8747,133354
20060816,8840,8840,8756,8830,201994
20060817,8951,9063,8896,8951,176239
20060818,9119,9156,8979,9147,136488
20060821,9305,9305,9091,9119,201096
20060822,9119,9286,9026,9193,110403
20060823,9086,9291,9054,9291,156845
20060824,9119,9124,8933,9044,136026
20060825,8937,9305,8937,9179,108676
20060828,9268,9277,9138,9235,218844
20060829,9175,9305,9175,9305,134334
20060830,9398,9398,9300,9333,130089
20060831,9328,9556,9328,9556,178864
20060901,9677,9719,9491,9719,133502
20060904,9724,10143,9645,9766,155855
20060905,9770,9770,9621,9682,136300
20060906,9714,9770,9673,9710,133137
20060907,9324,9677,9324,9649,135933
20060908,9677,9891,9649,9891,220300
20060911,9891,9891,9677,9770,133286
20060912,9761,9817,9631,9724,136306
20060913,9817,9891,9770,9817,135732
20060914,9808,9901,9770,9863,131422
20060915,9863,10189,9854,10189,133616
20060918,10236,10422,10189,10329,292123
20060919,10338,10375,10189,10347,120516
20060920,10338,10338,10003,10087,32219
20060921,10296,10296,9938,10012,148726
20060922,9947,9947,9728,9728,7250
20060925,9566,9775,9566,9752,144056
20060926,9775,9919,9640,9687,137096
20060927,9677,9854,9677,9845,137128
20060928,9863,9928,9863,9919,114362
20060929,9919,9980,9919,9975,5927
20061002,10133,10133,9789,10003,134227
20061004,9956,9956,9770,9808,5059
20061009,9635,9803,8337,9486,21520
20061010,9398,9435,9249,9342,13085
20061011,9352,9398,9286,9398,133890
20061012,9300,9445,9300,9393,133531
20061013,9398,9677,9398,9677,21239
20061016,9770,9859,9705,9803,61425
20061017,9808,9826,9701,9770,5374
20061018,9603,9780,9603,9770,2702
20061019,9854,9854,9687,9724,12378
20061020,9803,9803,9677,9733,27187
20061023,9770,9770,9612,9621,6390
20061024,9770,9770,9542,9547,14459
20061025,9072,9533,9072,9482,10341
20061026,9463,9566,9463,9561,9267
20061027,9687,9687,9407,9426,6903
20061030,9310,9342,9254,9258,8140
20061031,9258,9491,9258,9491,7497
20061101,9794,9794,9491,9524,4532
20061102,9524,9561,9491,9533,1423
20061103,9538,9603,9533,9575,2999
20061106,9584,9584,9449,9538,7269
20061107,9635,9635,9519,9570,5076
20061108,9612,9635,9538,9561,11009
20061109,9449,9621,9449,9621,4170
20061110,9640,9649,9552,9649,9986
20061113,9649,9752,9640,9752,7630
20061114,9817,9910,9817,9910,41328
20061115,10003,10003,9896,9956,11301
20061116,9956,10003,9933,9961,413225
20061117,9956,9975,9905,9975,9701
20061120,10008,10008,9747,9780,13295
20061121,9919,9919,9705,9724,11669
20061122,9770,9887,9770,9887,6867
20061123,9835,9863,9821,9840,25210
20061124,10236,10236,9733,9821,8611
20061127,9821,9821,8356,9761,9850
20061128,9742,9742,9575,9621,14510
20061129,9659,9687,9603,9663,12718
20061130,9668,9956,9668,9956,18334
20061201,10008,10008,9696,9738,3056
20061204,9733,9742,9677,9687,22656
20061205,9794,9794,9668,9696,2667
20061206,9691,9691,9491,9528,6398
20061207,9552,9570,9496,9500,3219
20061208,9445,9445,9286,9333,7641
20061211,9212,9370,9212,9291,7327
20061212,9305,9305,9184,9184,5988
20061213,9305,9324,9165,9305,3050
20061214,9356,9510,9305,9510,1475
20061215,9510,9607,9510,9552,51252
20061218,9570,9631,9491,9500,7562
20061219,9570,9589,9473,9477,1983
20061220,9491,9584,9491,9552,7407
20061221,9603,9603,9538,9584,3720
20061222,9491,9528,9440,9440,4287
20061226,9398,9468,9305,9333,4979
20061227,9338,9500,9338,9473,14523
20061228,9584,9584,9463,9561,32617
20070102,9584,9677,9584,9635,4378
20070103,9668,9668,9519,9528,3969
20070104,9519,9519,9426,9486,5466
20070105,9631,9631,9268,9366,10666
20070108,9324,9352,9231,9352,9681
20070109,9291,9352,9254,9254,8032
20070110,9258,9258,9017,9072,15547
20070111,9072,9193,9072,9133,6706
20070112,9673,9673,9124,9184,14945
20070115,9193,9305,9193,9305,3402
20070116,9352,9482,9300,9319,6175
20070117,9473,9473,9096,9128,9574
20070118,9161,9161,8961,8970,12289
20070119,8858,8858,8658,8663,20805
20070122,8654,8691,8598,8668,10568
20070123,8654,8668,8514,8551,7472
20070124,8491,8728,8491,8728,4654
20070125,9049,9049,8747,8747,1584
20070126,8747,8747,8607,8668,13113
20070129,8654,8700,8495,8500,4612
20070130,8500,8500,8356,8444,9038
20070131,8449,8486,8328,8328,7162
20070201,8416,8416,8309,8416,1326
20070202,8421,8691,8421,8654,5661
20070205,8733,8793,8672,8779,9200
20070206,8900,8900,8737,8784,1985
20070207,8784,8868,8784,8793,5415
20070208,8877,8900,8756,8803,2370
20070209,8784,8816,8728,8737,2271
20070212,8565,8626,8523,8607,2935
20070213,8612,8733,8607,8733,2855
