date,open,high,low,close,volume
20200807,9669,9684,9611,9650,127527
20200810,9650,9689,9645,9674,214725
20200811,9684,9693,9669,9684,84127
20200812,9626,9650,9587,9645,68814
20200813,9727,9727,9684,9693,165081
20200814,9746,9746,9708,9732,224802
20200818,9761,9766,9727,9727,81487
20200819,9742,9771,9727,9746,87532
20200820,9693,9698,9650,9689,82496
20200821,9742,9785,9742,9771,70498
20200824,9824,9862,9824,9857,162349
20200825,9949,9949,9901,9930,406207
20200826,9944,9954,9925,9939,99680
20200827,9997,10604,9997,10002,114597
20200828,10055,10098,10045,10094,104231
20200831,10098,10142,10079,10142,187201
20200901,10098,10098,10060,10069,86147
20200902,10180,10204,10171,10195,113229
20200903,10310,10335,10296,10315,114468
20200904,9915,9992,9910,9959,125864
20200907,9838,9862,9799,9799,61800
20200908,9891,9930,9881,9920,83974
20200909,9486,9780,9486,9616,109581
20200910,9824,9824,9746,9804,78999
20200911,9640,9713,9640,9708,98469
20200914,9722,9722,9669,9713,32810
20200915,9718,9742,9698,9732,37504
20200916,9732,9766,9722,9742,37841
20200917,9693,9693,9496,9496,79265
20200918,9530,9544,9457,9491,48291
20200921,9428,9428,9293,9308,459776
20200922,9308,9327,9255,9264,344059
20200923,9370,9395,9337,9375,281118
20200924,9178,9221,9149,9197,355539
20200925,9274,9298,9255,9274,266590
20200928,9428,9476,9404,9476,254951
20200929,9597,9597,9539,9558,254932
20201005,9534,9554,9505,9515,253323
20201006,9568,9611,9554,9592,232791
20201007,9467,9505,9467,9496,243216
20201008,9626,9640,9587,9621,270343
20201012,9645,9737,9645,9727,272999
20201013,9742,9872,9742,9852,236339
20201014,9828,9828,9771,9814,229505
20201015,9732,9732,9650,9655,223796
20201016,9698,9727,9689,9698,211747
20201019,9689,9708,9674,9698,282091
20201020,9563,9568,9515,9525,254588
20201021,9544,9554,9510,9530,206344
20201022,9448,9452,9409,9423,235428
20201023,9428,9544,9428,9491,219059
20201026,9467,9467,9414,9419,208009
20201027,9327,9366,9303,9337,463385
20201028,9264,9279,9226,9269,492727
20201029,9071,9120,9052,9120,236804
20201030,9018,9042,8907,8936,257251
20201102,8941,9057,8941,9033,416873
20201103,9115,9187,9115,9178,317702
20201104,9274,9486,9231,9356,1286961
20201105,9457,9554,9419,9491,224154
20201106,9588,9588,9496,9496,169746
20201109,9626,9670,9626,9626,203911
20201110,9670,9670,9510,9559,244073
20201111,9602,9612,9559,9583,107901
20201112,9617,9655,9588,9597,103019
20201113,9597,9597,9544,9583,95907
20201116,9728,9747,9689,9742,410035
20201117,9766,9771,9679,9708,358439
20201118,9708,9708,9626,9626,317945
20201119,9602,9684,9588,9675,189101
20201120,9646,9670,9621,9650,417514
20201123,9646,9650,9612,9621,619628
20201124,9732,9732,9679,9723,508801
20201125,9829,9839,9771,9800,480888
20201126,9781,9786,9747,9761,362602
20201127,9742,9747,9704,9747,262297
20201130,9757,9776,9694,9694,284987
20201201,9786,9839,9786,9824,178300
20201202,9839,9839,9766,9771,571847
20201203,9781,9814,9766,9781,207983
20201204,9757,9771,9660,9665,374977
20201207,9742,9747,9689,9704,450001
20201208,9704,9718,9679,9713,128921
20201209,9766,9790,9747,9781,308862
20201210,9737,9737,9675,9699,569679
20201211,9708,9737,9679,9708,519681
20201214,9786,9786,9752,9766,338340
20201215,9757,9771,9699,9708,634910
20201216,9771,9839,9766,9829,338922
20201217,9853,9872,9839,9872,482733
20201218,9901,9930,9897,9921,1580849
20201221,9959,9979,9911,9964,586133
20201222,9959,9969,9911,9916,555903
20201223,9950,9959,9882,9925,432691
20201224,9950,9950,9901,9916,481868
20201228,9964,9964,9897,9940,543426
20201229,9983,10008,9964,9988,504549
20201230,9935,9935,9877,9901,610240
20210104,9940,9945,9887,9906,467174
20210105,9795,9819,9766,9814,509304
20210106,9814,9892,9786,9824,294676
20210107,9839,10008,9829,9988,328871
20210108,10210,10234,10008,10152,409980
20210111,10162,10196,10152,10157,332436
20210112,10157,10205,10152,10191,193132
20210113,10147,10172,10123,10157,220189
20210114,10220,10263,10186,10215,179930
20210115,10162,10162,10080,10118,294338
20210118,10104,10133,10099,10118,177161
20210119,10152,10205,10147,10201,236633
20210120,10215,10229,10172,10205,242210
20210121,10331,10365,10167,10336,405296
20210122,10331,10355,10307,10326,250540
20210125,10345,10379,10340,10345,350288
20210126,10345,10345,10297,10326,250615
20210127,10365,10365,10336,10345,191341
20210128,9852,10181,9707,10181,355547
20210129,10263,10273,10176,10205,401123
20210201,10055,10166,10036,10142,332308
20210202,10258,10316,10258,10307,143839
20210203,10403,10447,10389,10427,203349
20210204,10423,10432,10403,10413,243010
20210205,10510,10650,10452,10640,310938
20210208,10626,10660,10611,10655,222732
20210209,10669,10674,10626,10660,244243
20210210,10611,10650,10597,10597,364534
20210215,10616,10640,10597,10616,343847
20210216,10631,10645,10597,10626,230348
