date,open,high,low,close,volume
20150529,9995,10015,9995,10000,16349
20150601,9955,9955,9910,9950,163
20150602,9920,9960,9920,9960,111
20150603,9910,9950,9910,9950,2182
20150604,9940,9980,9940,9975,1685
20150605,9920,9920,9910,9915,859
20150608,9880,9880,9865,9880,604
20150609,9830,9835,9810,9820,818
20150610,9820,9845,9800,9800,718
20150611,9945,9950,9945,9945,815
20150612,9960,9960,9945,9950,603
20150615,9855,9860,9805,9850,665
20150616,9840,9845,9835,9835,676
20150617,9915,9920,9915,9920,719
20150618,9910,9910,9890,9890,260
20150619,10025,10025,9965,9965,413
20150622,9995,10000,9995,10000,304
20150623,10050,10055,9985,10055,506
20150624,10040,10040,9990,9990,706
20150625,9980,9980,9980,9980,0
20150626,9930,9930,9925,9925,121
20150629,9780,9780,9725,9725,186
20150630,9735,9735,9675,9735,362
20150701,9750,9765,9750,9765,107
20150702,9805,9805,9800,9800,106
20150703,9800,9840,9740,9745,115
20150706,9700,9705,9590,9590,111
20150707,9830,9835,9720,9730,220
20150708,9840,9840,9800,9800,496
20150709,9730,9730,9730,9730,31
20150710,9795,9795,9795,9795,18
20150713,9810,9840,9810,9830,102
20150714,9965,9965,9965,9965,2
20150715,10000,10000,10000,10000,101
20150716,10025,10025,10000,10000,102
20150717,10055,10625,10005,10005,182
20150720,9945,10080,9945,10050,114
20150721,10090,10090,10080,10080,201
20150722,10025,10025,9895,9960,356
20150723,9960,9960,9960,9960,0
20150724,9990,9990,9965,9985,139
20150727,9750,9840,9750,9840,215
20150728,9830,9830,9830,9830,100
20150729,9935,9935,9800,9805,231
20150730,9985,9985,9920,9920,101
20150731,9980,9980,9910,9910,2
20150803,9985,9985,9925,9960,110
20150804,9935,9940,9935,9940,101
20150805,9915,9915,9915,9915,102
20150806,9960,9960,9960,9960,100
20150807,9895,9900,9895,9900,103
20150810,9870,9890,9865,9890,96
20150811,9995,9995,9890,9890,195
20150812,9915,9915,9775,9775,104
20150813,9910,9910,9910,9910,110
20150817,9945,9945,9920,9920,101
20150818,9990,10005,9965,10005,539
20150819,9960,9960,9960,9960,100
20150820,9875,9875,9875,9875,105
20150821,9595,9595,9595,9595,0
20150824,9320,9330,9130,9130,219
20150825,9025,9090,8980,8980,180
20150826,8815,9045,8815,9040,2293
20150827,9110,9190,9080,9080,230
20150828,9320,9400,9300,9300,1732
20150831,9335,9335,9220,9220,23
20150901,9090,9145,9060,9070,70
20150902,9070,9070,9070,9070,0
20150903,9260,9260,9190,9190,152
20150904,9190,9190,9190,9190,0
20150907,9190,9190,9190,9190,0
20150908,9190,9190,9190,9190,0
20150909,9360,9360,9360,9360,50
20150910,9215,9215,9215,9215,3
20150911,9215,9215,9215,9215,0
20150914,9245,9345,9245,9345,127
20150915,9300,9300,9300,9300,21
20150916,9350,9785,9350,9350,189
20150917,9480,9485,9480,9485,14
20150918,9305,9305,9305,9305,3
20150921,9270,9270,9270,9270,80
20150922,9225,9285,9225,9285,34
20150923,9170,9170,9005,9080,51
20150924,9080,9080,9080,9080,0
20150925,9045,9045,9045,9045,1
20150930,8895,8895,8890,8890,11
20151001,8960,9015,8960,9015,26
20151002,9015,9015,9015,9015,0
20151005,9130,9185,9130,9185,102
20151006,9385,9385,9335,9345,18
20151007,9345,9345,9345,9345,0
20151008,9345,9345,9345,9345,0
20151012,9560,9560,9500,9500,2
20151013,9445,9510,9445,9510,96
20151014,9490,9490,9450,9490,27
20151015,9490,9490,9490,9490,0
20151016,9490,9490,9490,9490,50
20151019,9630,9630,9630,9630,1
20151020,9520,9595,9520,9595,9
20151021,9590,9590,9540,9590,1011
20151022,9560,9560,9560,9560,0
20151023,9710,9710,9710,9710,0
20151026,9830,9830,9745,9745,316
20151027,9745,9750,9745,9745,29
20151028,9720,9775,9720,9775,83
20151029,9810,9810,9810,9810,0
20151030,9880,9890,9880,9890,400
20151102,9795,9795,9775,9775,4
20151103,9880,9880,9880,9880,4
20151104,9915,9980,9915,9955,33
20151105,9930,9930,9930,9930,0
20151106,9925,9925,9925,9925,3
20151109,9920,9920,9910,9910,4
20151110,9800,9800,9800,9800,1
20151111,9810,9810,9810,9810,0
20151112,9810,9810,9810,9810,0
20151113,9710,9710,9650,9650,17
20151116,9530,9530,9490,9515,21
20151117,9750,9750,9750,9750,1
20151118,9660,9690,9660,9690,3
20151119,9810,9845,9810,9820,19
20151120,9820,9820,9820,9820,0
20151123,9930,9930,9885,9885,31
20151124,9885,9885,9885,9885,21
20151125,9885,9885,9885,9885,0
20151126,9915,9915,9885,9885,22
20151127,9885,9900,9865,9900,1081
20151130,9900,9900,9855,9855,71
20151201,9850,9850,9850,9850,90
20151202,9965,9965,9935,9935,4
20151203,9880,9880,9855,9880,220
20151204,9750,9760,9750,9750,156
20151207,9725,9725,9725,9725,40002
20151208,9800,9855,9800,9830,138
20151209,9780,9785,9780,9780,57
20151210,9720,9720,9720,9720,100
20151211,9720,9720,9720,9720,0
20151214,9550,9555,9550,9555,904
20151215,9555,9555,9555,9555,0
20151216,9675,9675,9675,9675,2
20151217,9760,9765,9760,9760,14
20151218,9645,9645,9580,9580,1069
20151221,9525,9525,9525,9525,2
20151222,9600,9600,9600,9600,999
20151223,9610,9610,9610,9610,0
20151224,9705,9705,9705,9705,1
20151228,9705,9705,9705,9705,3
20151229,9705,9705,9705,9705,0
20151230,9800,9825,9800,9805,1052
20160104,9735,9735,9590,9590,528
20160105,9580,9580,9580,9580,100
20160106,9575,9575,9475,9475,6
20160107,9475,9475,9320,9320,510
20160108,9285,9305,9285,9290,310
20160111,8980,9105,8980,9105,345
20160112,9080,9080,8980,8980,107
20160113,9130,9185,9125,9185,406746
20160114,8965,9000,8965,9000,3
20160115,9085,9085,9085,9085,1
20160118,8885,8885,8885,8885,1
20160119,8945,8945,8945,8945,0
20160120,8890,8890,8780,8780,5136
20160121,8885,8885,8830,8830,111
20160122,8860,8885,8855,8885,1004
20160125,8975,8995,8975,8995,16
20160126,8880,8880,8815,8840,1016
20160127,8905,8940,8905,8940,35
20160128,8910,8915,8870,8870,15
20160129,8955,8955,8900,8940,5013
20160201,9185,9185,9130,9130,8
20160202,9155,9155,9110,9135,205
20160203,8990,8990,8970,8970,3
20160204,9085,9090,9040,9090,12
20160205,9080,9080,9030,9030,21
20160211,8775,8775,8695,8750,266
20160212,8735,8735,8695,8695,4
20160215,8835,8865,8835,8860,10
20160216,8895,8970,8895,8970,19
20160217,8985,8985,8950,8950,12
20160218,9095,9095,9095,9095,107
20160219,9105,9105,9105,9105,64
20160222,9105,9105,9105,9105,0
20160223,9205,9205,9140,9140,20
20160224,9100,9100,9100,9100,0
20160225,9195,9195,9160,9160,21
20160226,9185,9285,9185,9235,102590
20160229,9165,9195,9165,9195,56
20160302,9320,9395,9320,9385,1765
20160303,9380,9380,9380,9380,500
20160304,9390,9425,9390,9390,26
20160307,9410,9430,9410,9430,10
20160308,9400,9400,9400,9400,50
20160309,9425,9425,9425,9425,1
20160310,9425,9425,9425,9425,0
20160311,9405,9405,9405,9405,10
20160314,9525,9545,9520,9530,75
20160315,9580,9580,9580,9580,2
20160316,9570,9575,9570,9575,100
20160317,9580,9640,9580,9640,16
20160318,9625,9655,9625,9655,2
20160321,9655,9655,9640,9640,5209
20160322,9670,9670,9670,9670,0
20160323,9665,9730,9665,9685,134094
20160324,9660,9660,9635,9640,70
20160325,9640,9640,9640,9640,0
20160328,9640,9675,9640,9640,299
20160329,9700,9700,9700,9700,1
20160330,9785,9785,9570,9710,94991
20160331,9795,9795,9795,9795,50
20160401,9795,9795,9680,9685,80
20160404,9845,9855,9820,9855,16
20160405,9790,9790,9780,9780,11
20160406,9730,9730,9730,9730,0
20160407,9755,9755,9755,9755,0
20160408,9690,9690,9690,9690,0
20160411,9710,9710,9710,9710,1
20160412,9695,9695,9695,9695,0
20160414,9830,9855,9830,9855,89
20160415,9855,9855,9855,9855,0
20160418,9830,9830,9830,9830,0
20160419,9870,9940,9870,9900,72
20160420,9900,9925,9885,9925,68
20160421,9925,10000,9925,10000,621
20160422,9925,9945,9920,9945,674
20160425,9945,9945,9945,9945,0
20160426,9900,9925,9900,9925,725
20160427,9950,9950,9905,9905,21
20160428,9905,9905,9905,9905,0
20160429,9905,9905,9905,9905,0
20160502,9740,9770,9740,9740,84
20160503,9920,9920,9915,9915,372
20160504,9820,9820,9820,9820,0
20160509,9805,9805,9805,9805,10
20160510,9725,9810,9725,9810,286
20160511,10090,10090,9850,9860,377
20160512,9770,9800,9770,9800,354
20160513,9780,9780,9765,9765,3
20160516,9735,9735,9705,9705,650
20160517,9830,9830,9830,9830,100
20160518,9660,9700,9660,9700,107
20160519,9645,9645,9645,9645,1
20160520,9740,9740,9665,9715,25
20160523,9715,9715,9715,9715,0
20160524,9715,9715,9715,9715,0
20160525,9840,9840,9840,9840,169
20160526,9850,9850,9850,9850,0
20160527,9880,9880,9880,9880,0
20160530,9925,9925,9925,9925,1
20160531,12900,12900,12900,12900,4
20160601,9990,9990,9910,9925,18548
20160602,9920,9975,9920,9925,411
20160603,9980,9990,9980,9980,16
20160607,10045,10045,10000,10005,306
20160608,10000,10050,10000,10050,179
20160609,10050,10085,10050,10085,116
20160610,10070,10070,10070,10070,32
20160613,9960,9960,9960,9960,5
20160614,9895,9895,9895,9895,1
20160615,9915,9925,9915,9925,3
20160616,9915,9915,9825,9825,17
20160617,9875,9900,9870,9870,4620
20160620,9980,9980,9920,9925,4634
20160621,9975,9975,9940,9940,60
20160622,9980,9980,9900,9900,151
20160623,10020,10020,9985,9985,7
20160624,9900,9935,9585,9630,350713
20160627,9655,9655,9620,9620,10528
20160628,9600,9605,9290,9555,20164
20160629,9675,9710,9675,9710,36
20160630,9835,9875,9835,9840,152
