date,open,high,low,close,volume
20151007,7319,7319,7098,7098,31786
20151008,7182,7182,6985,7039,2147
20151012,7147,7167,7138,7138,15
20151013,7064,7064,7049,7049,103
20151014,7054,7054,6902,6902,355
20151015,6956,6970,6936,6970,7
20151016,7064,7221,7049,7049,117145
20151019,7093,7093,6990,6990,4
20151020,6990,7000,6961,7000,3
20151021,7044,7054,7000,7000,13
20151022,6887,6887,6789,6808,2173
20151023,6936,6936,6882,6892,20
20151026,7029,7138,7010,7108,35
20151027,7182,7216,7152,7152,12
20151028,7083,7192,7083,7162,125
20151029,7187,7187,7187,7187,30
20151030,7054,7054,6980,7015,386
20151102,7010,7010,7010,7010,0
20151103,7005,7005,7005,7005,1
20151104,6995,6995,6931,6970,13
20151105,7005,7029,7000,7020,59
20151106,7005,7029,6995,7020,298
20151109,7044,7083,6902,6941,587
20151110,6799,6799,6587,6622,1314
20151111,6622,6636,6582,6632,16
20151112,6666,6666,6587,6587,29
20151113,6519,6656,6494,6646,22
20151116,6504,6504,6455,6455,590
20151117,6533,6612,6533,6612,38
20151118,6725,6799,6725,6799,256
20151119,6823,6843,6823,6828,109
20151120,6862,6877,6843,6867,31
20151123,6897,7005,6872,7000,35730
20151124,7059,7098,7029,7059,3275
20151125,7074,7079,7059,7059,99
20151126,7113,7147,7093,7133,39685
20151127,7172,7172,7118,7118,209
20151130,7113,7113,7113,7113,50
20151201,7113,7118,7083,7093,280
20151202,7211,7231,7142,7142,528
20151203,7093,7093,7049,7054,335
20151204,7088,7088,7034,7039,354
20151207,7123,7133,7108,7118,9156
20151208,7113,7113,6941,7000,93
20151209,6907,6956,6902,6951,6
20151210,6941,6970,6887,6941,20398
20151211,6995,7020,6956,6975,68715
20151214,6813,6828,6745,6774,61811
20151215,6759,6823,6730,6794,44
20151216,6897,6897,6882,6897,145
20151217,6956,6956,6902,6921,72084
20151218,6941,7044,6936,7034,1213
20151221,7034,7034,6995,6995,907
20151222,6912,6912,6912,6912,1
20151223,6966,6966,6921,6921,649
20151224,6877,6877,6818,6818,243
20151228,6828,6828,6705,6705,40
20151229,6828,6966,6828,6951,9167
20151230,7064,7108,7039,7108,258
20160104,7123,7152,7029,7029,1045
20160105,7000,7054,6980,7039,548
20160106,7069,7113,7015,7108,552
20160107,7059,7103,7020,7103,585
20160108,6995,7054,6956,7044,371
20160111,7241,7280,7005,7015,57689
20160112,7054,7054,6995,6995,21
20160113,7083,7162,7074,7162,148
20160114,7034,7088,7029,7054,56016
20160115,7152,7152,6995,6995,374
20160118,6877,6980,6872,6970,742
20160119,7044,7098,7044,7083,306
20160120,7064,7064,6784,6799,671
20160121,6912,6912,6862,6862,28
20160122,6946,7044,6946,7044,175
20160125,7182,7187,7123,7182,21690
20160126,7103,7182,7103,7162,42
20160127,7211,7211,7108,7123,7415
20160128,7088,7103,7074,7074,15
20160129,7123,7123,7029,7103,4399
20160201,7123,7123,6975,7069,135
20160202,7005,7005,6956,6985,23
20160203,6985,6985,6902,6912,640
20160204,6951,6961,6912,6956,899
20160205,6936,6946,6872,6912,107
20160211,6759,6774,6602,6602,951089
20160212,6489,6553,6140,6288,313526
20160215,6302,6381,6268,6347,115170
20160216,6401,6494,6401,6494,346175
20160217,6440,6440,6268,6268,4
20160218,6342,6406,6327,6366,1546
20160219,6391,6519,6366,6509,84484
20160222,6538,6582,6528,6568,122334
20160223,6558,6558,6302,6342,190396
20160224,6278,6347,6258,6258,10719
20160225,6327,6342,6288,6332,357
20160226,6366,6371,6332,6361,10948
20160229,6430,6469,6430,6455,381
20160302,6504,6538,6474,6474,106
20160303,6533,6582,6523,6582,327
20160304,6577,6582,6568,6577,280
20160307,6597,6597,6514,6533,203825
20160308,6558,6563,6514,6563,642
20160309,6528,6573,6528,6573,3028
20160310,6612,6676,6612,6676,362
20160311,6646,6646,6627,6627,16
20160314,6720,6725,6651,6690,31854
