date,open,high,low,close,volume
20110718,13133,13162,12982,13162,5945
20110719,13133,13562,13133,13382,30360
20110720,13450,13601,13411,13601,10269
20110721,13625,13669,13333,13333,5353
20110722,13469,13674,13396,13674,799
20110725,13737,13918,13654,13908,5101
20110726,13981,14127,13981,14127,3983
20110727,14225,14229,14098,14137,4415
20110728,14025,14303,13864,14288,4890
20110729,14278,14561,14278,14395,6493
20110801,14483,14488,14283,14439,4401
20110802,14439,14468,14200,14278,6968
20110803,13922,14278,13830,14278,3989
20110804,14293,14468,14132,14161,6347
20110805,13148,13679,13148,13484,4203
20110808,13206,13528,12222,12855,8868
20110809,12441,12441,11447,12236,4328
20110810,12865,12909,12431,12597,1794
20110811,11895,12962,11895,12894,1905
20110812,13245,13869,13148,13191,7285
20110816,13562,14619,13011,13109,15262
20110817,13036,13138,12821,13138,4220
20110818,13123,13123,12943,13123,1380
20110819,12660,12919,12495,12495,2714
20110822,12392,12699,12295,12670,865
20110823,12748,13040,12724,12997,858
20110824,13109,13109,12719,12719,1595
20110825,12782,12958,12495,12558,1713
20110826,12451,12587,11510,12587,1566
20110829,12587,12719,12587,12612,3002
20110830,12709,12787,12607,12787,513
20110831,12787,12992,12787,12992,379
20110901,12972,13075,12641,12641,2610
20110902,12651,12787,12616,12753,3960
20110905,12621,12636,12412,12412,6587
20110906,12256,12348,11934,12153,1070
20110907,12222,12387,12222,12353,996
20110908,12499,12548,12246,12270,574
20110909,12266,12300,12124,12149,264
20110914,12051,12153,11885,11939,1869
20110915,12080,12183,11729,11920,2633
20110916,12124,12314,12124,12305,6450
20110919,12295,12368,12246,12305,939
20110920,12270,12319,12173,12319,279
20110921,12402,12553,12402,12509,797
20110922,12314,12753,12314,12753,1600
20110923,12227,12392,12027,12027,1240
20110926,12183,12280,11768,11783,352
20110927,12051,12114,12041,12114,585
20110928,12246,12270,12110,12261,163
20110929,12124,12231,12124,12124,1084
20110930,12212,12558,12212,12543,816
20111004,12022,12305,12022,12305,2621
20111005,12339,12402,12251,12324,657
20111006,12504,12621,12426,12426,523
20111007,12636,12899,12636,12870,526
20111010,12836,13123,12836,13099,862
20111011,13255,13518,13230,13435,779
20111012,13528,13645,13421,13425,567
20111013,13547,13576,13464,13567,581
20111014,13542,13620,13250,13552,180
20111017,13723,14117,13689,14083,610
20111018,13791,14454,13791,13932,1733
20111019,14015,14132,13533,13533,1412
20111020,13533,13625,13060,13060,497
20111021,13099,13162,12524,12802,2164
20111024,12904,13123,12845,13118,1374
20111025,13157,13377,13157,13196,362
20111026,13250,13289,13182,13201,374
20111027,13235,13260,12962,12987,2528
20111028,13123,13123,12743,12860,3444
20111031,12860,13104,12860,13075,867
20111101,13060,13177,12768,12875,10375
20111102,12685,12855,12573,12855,603
20111103,12889,12972,12772,12875,242
20111104,13021,13109,12967,13075,44
20111107,13094,13094,13006,13026,854
20111108,13011,13269,13011,13104,510
20111109,13191,13255,13079,13118,221
20111110,12982,12982,12577,12577,1150
20111111,12592,12733,12188,12733,582
20111114,12870,12962,12709,12709,484
20111115,12777,12938,12777,12816,411
20111116,12826,12914,12480,12480,125
20111117,12475,12665,12363,12665,464
20111118,12519,12577,12519,12534,1699
20111121,12324,12563,12324,12563,35
20111122,12363,12412,12358,12373,34
20111123,12368,12368,12012,12114,452
20111124,12051,12051,11798,11837,518
20111125,11778,11910,11691,11695,642
20111128,11837,12129,11837,12124,997
20111129,12212,12290,12163,12183,256
20111130,12290,12538,12290,12538,351
20111201,12690,12943,12665,12850,1294
20111202,12914,12992,12865,12914,3514
20111205,12962,13128,12962,13075,802
20111206,13036,13070,13006,13070,386
20111207,13070,13070,12894,12894,196
20111208,12894,12962,12894,12962,1129
20111209,12855,12880,12787,12787,369
20111212,12875,12923,12821,12821,442
20111213,12816,13114,12816,13036,2696
20111214,13060,13162,13006,13006,362
20111215,12909,12919,12660,12719,31
20111216,12709,12709,12709,12709,80
20111219,12587,12587,11959,12178,292
20111220,12290,12417,12290,12368,116
20111221,12665,12724,12621,12621,129
20111222,12709,12709,12685,12685,51
20111223,12904,12909,12850,12850,148
20111226,12870,12894,12836,12894,18
20111227,12870,12870,12582,12582,16
20111228,12475,12670,12475,12670,16
20111229,12699,12719,12646,12719,174
20120102,12772,12865,12612,12831,3285
20120103,12914,12962,12865,12923,2395
20120104,12928,12928,12914,12914,63
20120105,12870,12870,12836,12836,452
20120106,12772,12797,12690,12763,59
20120109,13138,13289,13065,13221,943
20120110,13347,13386,13230,13294,12122
20120111,13221,13308,13206,13274,1176
20120112,13333,13333,13152,13206,1426
20120113,13357,13460,13357,13460,231
20120116,13328,13460,13260,13435,501
20120117,13382,13547,13382,13474,611
20120118,13557,13664,13508,13508,467
20120119,13630,13630,13308,13396,248
20120120,13191,13191,13001,13040,608
20120125,13045,13079,13031,13040,250
20120126,13191,13211,13133,13133,351
20120127,13114,13148,13006,13016,1142
20120130,12962,12962,12738,12738,333
20120131,12626,12826,12626,12787,243
20120201,12787,12787,12768,12768,29
20120202,12845,12919,12768,12845,764
20120203,12777,12782,12626,12641,437
20120206,12651,12651,12397,12441,928
20120207,12426,12426,12387,12392,1099
20120208,12378,12397,12348,12373,207
20120209,12344,12344,12134,12197,21015
20120210,12183,12246,12149,12236,496
20120213,12280,12290,12188,12188,115
20120214,12183,12183,12032,12134,1273
20120215,12129,12139,12076,12100,2269
20120216,12085,12129,12007,12100,493
20120217,12095,12100,11978,12022,689
20120220,11988,11988,11871,11939,769
20120221,11881,11973,11876,11924,892
20120222,11915,11939,11807,11939,659
