date,open,high,low,close,volume
20120120,50040,50040,49960,49960,3276
20120125,49960,49960,49960,49960,100
20120126,49960,49985,49925,49930,1161
20120127,57200,57200,49810,50000,104
20120130,50000,50130,50000,50130,1080
20120131,50210,50210,50135,50180,1001
20120201,50220,50260,50170,50230,5131
20120202,50180,50180,50180,50180,1007
20120203,50200,50220,50190,50190,1002
20120206,50120,50130,50090,50120,1045
20120207,50120,50120,50040,50060,1068
20120208,50000,50000,49980,49980,2001
20120209,50050,50110,49990,50050,1005
20120210,49990,50050,49980,50010,603
20120213,50015,50015,49910,49980,15
20120214,49985,50020,49975,50020,2109
20120215,50000,50000,50000,50000,0
20120216,50050,50050,50050,50050,0
20120217,49990,49990,49990,49990,1
20120220,49960,49960,49940,49940,3
20120221,49950,50000,49940,50000,102
20120222,49990,49990,49950,49950,109
20120223,50020,50020,50020,50020,15
20120224,50020,50020,50020,50020,0
20120227,50080,50110,50080,50110,465
20120228,50120,50140,50120,50140,274
20120229,50155,50155,50155,50155,0
20120302,50050,50050,50050,50050,50
20120305,49970,49970,49970,49970,0
20120306,49970,49970,49970,49970,0
20120307,49970,49970,49970,49970,0
20120308,50080,50080,50080,50080,0
20120309,50060,50060,50060,50060,10
20120312,50090,50120,50090,50120,141
20120313,50160,50160,50160,50160,300
20120314,50060,50060,50060,50060,0
20120315,50000,50000,49895,49895,8002
20120316,49800,49800,49800,49800,4
20120319,49740,49740,49620,49640,62
20120320,49640,49680,49640,49680,136
20120321,49620,49620,49550,49550,55
20120322,49660,49660,49500,49500,4004
20120323,49500,49540,49500,49540,52
20120326,49620,49650,49620,49650,103
20120327,49800,49850,49680,49680,199
20120328,49840,49840,49840,49840,4036
20120329,49900,49900,49900,49900,0
20120330,49980,50050,49980,50050,65
20120402,50000,50000,50000,50000,1
20120403,50030,50030,49990,49990,5
20120404,49990,49990,49990,49990,0
20120405,50070,50110,50070,50110,4
20120406,50110,50110,50050,50050,2
20120409,50280,50280,50280,50280,0
20120410,50240,50270,50200,50270,5
20120412,50240,50240,50240,50240,1
20120413,50200,50200,50200,50200,1
20120416,50350,50350,50350,50350,1
20120417,50370,50370,50370,50370,0
20120418,50310,50310,50310,50310,0
20120419,50330,50330,50330,50330,1
20120420,50360,50480,50360,50480,3
20120423,50500,50500,50450,50460,17
20120424,50530,50530,50530,50530,1
20120425,50430,50435,50425,50425,11
20120426,50435,50470,50430,50430,12
20120427,50510,50610,50500,50600,5046
20120430,50700,50735,50690,50735,6
