date,open,high,low,close,volume
20021014,5402,5541,5257,5368,3720670
20021015,5437,5527,5333,5499,3304227
20021016,5569,5569,5479,5520,2943860
20021017,5527,5666,5451,5596,3019836
20021018,5749,5887,5714,5839,1907521
20021021,5818,5818,5679,5679,3086119
20021022,5783,5783,5506,5555,3774039
20021023,5555,5721,5479,5721,3614719
20021024,5749,5797,5624,5700,3133792
20021025,5631,5790,5631,5721,3399395
20021028,5818,5950,5790,5929,4619145
20021029,5887,5970,5860,5887,5236812
20021030,5880,5880,5700,5749,6249782
20021031,5797,5860,5700,5721,4373584
20021101,5721,5735,5631,5645,4656803
20021104,5714,5894,5714,5873,3275944
20021105,5901,5901,5770,5804,3700245
20021106,5860,5998,5860,5977,3326268
20021107,5957,6047,5901,5977,2398109
20021108,5887,5894,5804,5887,3465025
20021111,5853,5860,5707,5742,2675857
20021112,5631,5749,5610,5735,2631045
20021113,5763,5763,5631,5700,2831427
20021114,5686,5770,5673,5707,4242932
20021115,5818,5901,5790,5887,4462706
20021118,5894,5950,5811,5825,4159286
20021119,5797,5901,5797,5873,2822856
20021120,5873,6012,5839,6005,2849112
20021121,6095,6171,6074,6081,2907541
20021122,6199,6220,6088,6102,2957374
20021125,6144,6220,6123,6213,2330848
20021126,6234,6234,6116,6171,2872398
20021127,6123,6227,6109,6227,2772467
20021128,6358,6386,6268,6289,3302671
20021129,6282,6372,6261,6372,5157367
20021202,6386,6428,6317,6414,2728590
20021203,6414,6490,6393,6476,2972013
20021204,6386,6386,6275,6282,2977136
20021205,6268,6351,6234,6344,3119094
20021206,6310,6351,6247,6310,3104179
20021209,6289,6344,6178,6213,3687870
20021210,6137,6192,6095,6171,4361934
20021211,6199,6199,6095,6123,3076750
20021212,6157,6241,6144,6213,5375485
20021213,6213,6220,6130,6220,3400237
20021216,6137,6137,6047,6054,3663443
20021217,6150,6220,6144,6199,3985427
20021218,6123,6275,6116,6241,4503976
20021220,6213,6289,6192,6268,3787818
20021223,6261,6296,6109,6109,3908776
20021224,6074,6130,5957,5970,3612106
20021226,5957,6012,5887,5977,3819052
20021227,5894,5984,5860,5866,2665174
20021230,5818,5853,5513,5638,3889781
20030102,5721,5721,5582,5666,3009028
20030103,5818,5922,5783,5908,3297530
20030106,5880,5984,5873,5963,4035017
20030107,6088,6088,5825,5832,4203245
20030108,5866,5908,5818,5839,3242035
20030109,5804,5804,5645,5666,3784913
20030110,5728,5783,5548,5610,4782547
20030113,5610,5811,5589,5804,3025723
20030114,5790,5853,5728,5825,2541740
20030115,5873,5908,5749,5776,2615122
