date,open,high,low,close,volume,ticker,code,name,interval
20190724,9928,9928,9893,9898,64386,329750,329750,TIGER 미국달러단기채권액티브,D
20190725,9893,9923,9893,9923,69526,329750,329750,TIGER 미국달러단기채권액티브,D
20190726,9948,9968,9938,9958,62457,329750,329750,TIGER 미국달러단기채권액티브,D
20190729,9963,9963,9928,9948,45948,329750,329750,TIGER 미국달러단기채권액티브,D
20190730,9938,9948,9923,9928,33496,329750,329750,TIGER 미국달러단기채권액티브,D
20190731,9928,9948,9923,9948,42853,329750,329750,TIGER 미국달러단기채권액티브,D
20190801,9997,10012,9972,9987,33944,329750,329750,TIGER 미국달러단기채권액티브,D
20190802,10047,10062,10022,10062,27320,329750,329750,TIGER 미국달러단기채권액티브,D
20190805,10121,10245,10111,10230,133875,329750,329750,TIGER 미국달러단기채권액티브,D
20190806,10270,10275,10181,10225,55788,329750,329750,TIGER 미국달러단기채권액티브,D
20190807,10215,10245,10210,10220,86139,329750,329750,TIGER 미국달러단기채권액티브,D
20190808,10220,10230,10176,10176,24065,329750,329750,TIGER 미국달러단기채권액티브,D
20190809,10176,10190,10166,10176,38802,329750,329750,TIGER 미국달러단기채권액티브,D
20190812,10225,10240,10210,10225,185606,329750,329750,TIGER 미국달러단기채권액티브,D
20190813,10265,10280,10250,10280,194655,329750,329750,TIGER 미국달러단기채권액티브,D
20190814,10171,10220,10171,10215,288156,329750,329750,TIGER 미국달러단기채권액티브,D
20190816,10230,10235,10190,10200,220742,329750,329750,TIGER 미국달러단기채권액티브,D
20190819,10181,10205,10181,10190,225808,329750,329750,TIGER 미국달러단기채권액티브,D
20190820,10215,10215,10161,10171,246577,329750,329750,TIGER 미국달러단기채권액티브,D
20190821,10185,10190,10101,10126,245887,329750,329750,TIGER 미국달러단기채권액티브,D
20190822,10141,10166,10121,10166,244536,329750,329750,TIGER 미국달러단기채권액티브,D
20190823,10210,10230,10190,10190,16214,329750,329750,TIGER 미국달러단기채권액티브,D
20190826,10275,10275,10235,10250,350121,329750,329750,TIGER 미국달러단기채권액티브,D
20190827,10225,10230,10205,10205,432165,329750,329750,TIGER 미국달러단기채권액티브,D
20190828,10205,10215,10190,10210,388637,329750,329750,TIGER 미국달러단기채권액티브,D
20190829,10210,10240,10205,10235,498945,329750,329750,TIGER 미국달러단기채권액티브,D
20190830,10176,10195,10156,10195,449790,329750,329750,TIGER 미국달러단기채권액티브,D
20190902,10210,10210,10171,10185,170343,329750,329750,TIGER 미국달러단기채권액티브,D
20190903,10220,10235,10205,10225,209714,329750,329750,TIGER 미국달러단기채권액티브,D
20190904,10185,10200,10166,10166,212762,329750,329750,TIGER 미국달러단기채권액티브,D
20190905,10131,10141,10067,10072,242715,329750,329750,TIGER 미국달러단기채권액티브,D
20190906,10081,10086,10062,10072,274704,329750,329750,TIGER 미국달러단기채권액티브,D
20190909,10057,10057,10007,10022,299041,329750,329750,TIGER 미국달러단기채권액티브,D
20190910,10022,10042,10002,10027,493491,329750,329750,TIGER 미국달러단기채권액티브,D
20190911,10032,10037,9997,10012,215124,329750,329750,TIGER 미국달러단기채권액티브,D
20190916,9977,9977,9943,9943,472974,329750,329750,TIGER 미국달러단기채권액티브,D
20190917,9982,10012,9977,10002,715701,329750,329750,TIGER 미국달러단기채권액티브,D
20190918,9987,10027,9987,10012,236941,329750,329750,TIGER 미국달러단기채권액티브,D
20190919,10037,10067,10032,10032,325863,329750,329750,TIGER 미국달러단기채권액티브,D
20190920,10042,10047,9982,9987,372492,329750,329750,TIGER 미국달러단기채권액티브,D
20190923,10022,10047,10012,10037,273576,329750,329750,TIGER 미국달러단기채권액티브,D
20190924,10052,10057,10027,10037,449068,329750,329750,TIGER 미국달러단기채권액티브,D
20190925,10067,10091,10057,10081,425932,329750,329750,TIGER 미국달러단기채권액티브,D
20190926,10081,10091,10076,10081,347262,329750,329750,TIGER 미국달러단기채권액티브,D
20190927,10106,10111,10086,10086,349213,329750,329750,TIGER 미국달러단기채권액티브,D
20190930,10126,10126,10067,10072,248119,329750,329750,TIGER 미국달러단기채권액티브,D
20191001,10096,10101,10072,10086,573707,329750,329750,TIGER 미국달러단기채권액티브,D
20191002,10136,10156,10116,10156,580742,329750,329750,TIGER 미국달러단기채권액티브,D
20191004,10131,10131,10057,10072,506174,329750,329750,TIGER 미국달러단기채권액티브,D
20191007,10076,10086,10052,10072,136950,329750,329750,TIGER 미국달러단기채권액티브,D
20191008,10081,10081,10042,10052,147465,329750,329750,TIGER 미국달러단기채권액티브,D
20191010,10096,10101,10042,10076,143380,329750,329750,TIGER 미국달러단기채권액티브,D
20191011,10037,10037,10002,10017,179142,329750,329750,TIGER 미국달러단기채권액티브,D
20191014,9968,9987,9948,9968,489862,329750,329750,TIGER 미국달러단기채권액티브,D
20191015,9982,9987,9963,9968,318289,329750,329750,TIGER 미국달러단기채권액티브,D
20191016,9977,10012,9972,9997,555957,329750,329750,TIGER 미국달러단기채권액티브,D
20191017,9997,9997,9977,9997,719207,329750,329750,TIGER 미국달러단기채권액티브,D
20191018,9948,9953,9928,9943,400353,329750,329750,TIGER 미국달러단기채권액티브,D
20191021,9938,9938,9868,9868,292667,329750,329750,TIGER 미국달러단기채권액티브,D
20191022,9873,9888,9844,9844,582481,329750,329750,TIGER 미국달러단기채권액티브,D
20191023,9863,9908,9863,9868,657910,329750,329750,TIGER 미국달러단기채권액티브,D
20191024,9868,9883,9839,9883,503133,329750,329750,TIGER 미국달러단기채권액티브,D
20191025,9888,9898,9873,9873,409322,329750,329750,TIGER 미국달러단기채권액티브,D
20191028,9863,9863,9839,9863,274599,329750,329750,TIGER 미국달러단기채권액티브,D
20191029,9849,9849,9794,9794,216985,329750,329750,TIGER 미국달러단기채권액티브,D
20191030,9819,9868,9819,9854,419678,329750,329750,TIGER 미국달러단기채권액티브,D
20191031,9809,9824,9784,9819,425960,329750,329750,TIGER 미국달러단기채권액티브,D
20191101,9863,9873,9829,9829,274836,329750,329750,TIGER 미국달러단기채권액티브,D
