date,open,high,low,close,volume,ticker,code,name,interval
20221017,20560,20560,19930,19930,3949902,Q530107,Q530107,삼성 인버스 2X 코스닥150 선물 ETN,D
20221018,18830,19900,18830,18930,6454675,Q530107,Q530107,삼성 인버스 2X 코스닥150 선물 ETN,D
20221019,18980,19565,18370,19520,4107704,Q530107,Q530107,삼성 인버스 2X 코스닥150 선물 ETN,D
20221020,19810,20700,19545,20425,5457998,Q530107,Q530107,삼성 인버스 2X 코스닥150 선물 ETN,D
20221021,20700,20715,20055,20510,8807080,Q530107,Q530107,삼성 인버스 2X 코스닥150 선물 ETN,D
20221024,19535,19535,18915,19075,9262236,Q530107,Q530107,삼성 인버스 2X 코스닥150 선물 ETN,D
20221025,19180,19385,18735,19165,7515186,Q530107,Q530107,삼성 인버스 2X 코스닥150 선물 ETN,D
20221026,19130,19400,18915,19330,5007479,Q530107,Q530107,삼성 인버스 2X 코스닥150 선물 ETN,D
20221027,19070,19090,18480,18480,3822373,Q530107,Q530107,삼성 인버스 2X 코스닥150 선물 ETN,D
20221028,18910,19025,18445,19025,5330666,Q530107,Q530107,삼성 인버스 2X 코스닥150 선물 ETN,D
20221031,17215,18935,17215,18420,2325262,Q530107,Q530107,삼성 인버스 2X 코스닥150 선물 ETN,D
20221101,18525,18725,18325,18435,3078712,Q530107,Q530107,삼성 인버스 2X 코스닥150 선물 ETN,D
20221102,18750,18940,18595,18735,5222886,Q530107,Q530107,삼성 인버스 2X 코스닥150 선물 ETN,D
20221103,19565,19590,19005,19255,4133922,Q530107,Q530107,삼성 인버스 2X 코스닥150 선물 ETN,D
20221104,19480,20000,19265,19310,4759709,Q530107,Q530107,삼성 인버스 2X 코스닥150 선물 ETN,D
20221107,19300,19350,18850,18850,4255490,Q530107,Q530107,삼성 인버스 2X 코스닥150 선물 ETN,D
20221108,18700,18745,17900,17910,6387800,Q530107,Q530107,삼성 인버스 2X 코스닥150 선물 ETN,D
20221109,17880,18220,17775,18025,4948865,Q530107,Q530107,삼성 인버스 2X 코스닥150 선물 ETN,D
20221110,18495,18710,18220,18705,3426643,Q530107,Q530107,삼성 인버스 2X 코스닥150 선물 ETN,D
